iteration,loss,mean_rel_error
1,72.11227416992188,1.6072817767030503
100,3.045976161956787,0.9156532251969403
200,0.8132573366165161,0.800031067523586
300,0.552152693271637,0.7600265933643642
400,0.4309750199317932,0.7284086079545627
500,0.35226765275001526,0.6783650844330444
600,0.28531375527381897,0.6539897621112669
700,0.45750585198402405,0.725582206391234
800,0.2581687867641449,0.6264976172587355
900,0.20665353536605835,0.5935824984799912
1000,0.15420269966125488,0.5112205129552003
1100,0.108330637216568,0.3815195869920438
1200,0.08036575466394424,0.2930016152506373
1300,0.17131376266479492,0.40499172710164255
1400,0.07651451230049133,0.28656286707852807
1500,0.05859466642141342,0.21676776693341399
1600,0.043878186494112015,0.16173698931385883
1700,0.033195458352565765,0.10765876955726558
1800,0.02687326818704605,0.10889397366640818
1900,0.26215630769729614,0.4763054694973582
2000,0.04145858436822891,0.18405779352809803
2100,0.027252716943621635,0.10395915482864238
2200,0.020926008000969887,0.09206466035257273
2300,0.016987269744277,0.08411043314687769
2400,0.014228840358555317,0.07922712304004129
