iteration,loss,mean_rel_error
1,0.32940587401390076,2.602350865936676
100,0.5935534238815308,0.7254791508036598
200,0.30940425395965576,0.6555940114088752
300,0.25286075472831726,0.6094808530806926
400,0.217906653881073,0.6065547092381885
500,0.1856156289577484,0.5660487681335042
600,0.14804814755916595,0.481146829805417
700,0.30931252241134644,0.5424228809917657
800,0.13418161869049072,0.4380970363221973
900,0.09589756280183792,0.33287098439553825
1000,0.06799011677503586,0.23981439710301186
1100,0.05093759298324585,0.18107830207579556
1200,0.038165561854839325,0.13543476103898677
1300,0.14441221952438354,0.3613300977045376
1400,0.04129699245095253,0.14988289509063696
1500,0.030496910214424133,0.1245215085333911
1600,0.023989660665392876,0.11067586828095599
1700,0.01864166185259819,0.09219843633209188
1800,0.015001323074102402,0.08648175321659199
1900,0.2085934579372406,0.4482364944512852
2000,0.025113634765148163,0.1407938996703967
2100,0.015345458872616291,0.08031914520827288
2200,0.012649213895201683,0.07952314907941022
2300,0.010560102760791779,0.07400711794082258
2400,0.008335615508258343,0.07311786004334322
2500,0.2972908318042755,0.5674556164772078
2600,0.045828357338905334,0.16591545953292505
2700,0.016638891771435738,0.09504459151303997
2800,0.010756837204098701,0.07672999435445799
2900,0.007732998579740524,0.0783397965778729
3000,0.006060982588678598,0.07617548662495102
3100,0.08252578973770142,0.30009098852985916
3200,0.009141090326011181,0.08015098250618984
3300,0.006028125993907452,0.078414155116276
3400,0.004899413324892521,0.07397432586893166
3500,0.004080244805663824,0.07407647504481646
3600,0.0033708398696035147,0.07377698941135086
3700,0.04328140988945961,0.19786691862053918
3800,0.0052994959987699986,0.07248839836636217
3900,0.003535960800945759,0.0724900438063491
4000,0.0031219322700053453,0.07370084195642476
4100,0.00284182233735919,0.07334680683020317
4200,0.002569901291280985,0.07359496525143099
4300,0.07555483281612396,0.24000473381059756
4400,0.007357735652476549,0.06845487612619891
4500,0.0038948587607592344,0.07299241784695965
4600,0.0030321949161589146,0.0745325560902163
4700,0.002590135671198368,0.07329241987550222
4800,0.0023627053014934063,0.07337559827000378
4900,0.08628824353218079,0.28740107073287524
5000,0.007077573798596859,0.0731430541953752
5100,0.0034147424157708883,0.06942310271881497
5200,0.0026720184832811356,0.07282952388263907
5300,0.0023406194522976875,0.07455805407538889
5400,0.002136148978024721,0.07475854657740133
5500,0.07128298282623291,0.24084406102525874
5600,0.005509678740054369,0.0721800126610603
5700,0.0029425830580294132,0.0739774102766037
5800,0.0023854956962168217,0.07517340003417566
5900,0.002152831293642521,0.07422390358919481
6000,0.001956599298864603,0.07482942900107921
